name,role,team,price,expected_points,position_scarcity,risk_factor,ev_score,ev_percentile
Zelezny,P,Roma,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Terracciano,P,Milan,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Torriani,P,Milan,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Radunovic,P,Cagliari,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Russo A.,P,Sassuolo,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Satalino,P,Sassuolo,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Donnarumma An.,P,Torino,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Gollini,P,Roma,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Vigorito,P,Como,1,2.466666666666667,0.13999999999999999,0.3933333333333333,6.235185185185186,0.9571984435797666
Maleh,C,Lecce,6,14.331100478468901,0.15180722891566265,0.3916867469879518,5.77015361369932,0.9241245136186771
Santiago,C,Verona,2,4.777033492822967,0.15180722891566265,0.4103614457831325,5.593014811931962,0.9221789883268483
Alli,C,Como,1,2.3885167464114834,0.15180722891566265,0.4169879518072289,5.530159108079028,0.9182879377431906
Basic,C,Lazio,1,2.3885167464114834,0.15180722891566265,0.4169879518072289,5.530159108079028,0.9182879377431906
Arena,C,Pisa,1,2.3885167464114834,0.15180722891566265,0.4169879518072289,5.530159108079028,0.9182879377431906
Jean,D,Lecce,3,7.050000000000001,0.15806451612903225,0.43440860215053767,5.150416666666667,0.914396887159533
Perez M.,D,Lecce,1,2.35,0.15806451612903225,0.4483870967741935,5.023125,0.9114785992217899
Veroli,D,Cagliari,1,2.35,0.15806451612903225,0.4483870967741935,5.023125,0.9114785992217899
Valoti,C,Cremonese,9,16.719617224880384,0.15180722891566265,0.3687951807228915,4.656782277573011,0.9085603112840467
Belahyane,C,Lazio,5,9.554066985645933,0.15180722891566265,0.3953012048192771,4.588694947459995,0.9066147859922179
Marin M.,C,Pisa,8,14.331100478468901,0.15180722891566265,0.37843373493975907,4.421898766053891,0.9046692607003891
Cataldi,C,Lazio,7,11.942583732057416,0.15180722891566265,0.38506024096385544,4.166435226823038,0.9027237354085603
Scuffet,P,Pisa,5,7.4,0.13999999999999999,0.33166666666666667,4.121388888888889,0.9007782101167315
Musah,C,Milan,9,14.331100478468901,0.15180722891566265,0.3687951807228915,3.9915276664911525,0.8978599221789884
Piccinini G.,C,Pisa,9,14.331100478468901,0.15180722891566265,0.3687951807228915,3.9915276664911525,0.8978599221789884
Bianchetti,D,Cremonese,4,7.050000000000001,0.15806451612903225,0.4252688172043011,3.925234375,0.8949416342412452
Skjellerup,A,Sassuolo,1,2.2020618556701033,0.18529411764705883,0.49215686274509807,3.9198214475502184,0.8881322957198443
Buffon L.,A,Pisa,1,2.2020618556701033,0.18529411764705883,0.49215686274509807,3.9198214475502184,0.8881322957198443
Bonazzoli,A,Cremonese,1,2.2020618556701033,0.18529411764705883,0.49215686274509807,3.9198214475502184,0.8881322957198443
Moro L.,A,Sassuolo,1,2.2020618556701033,0.18529411764705883,0.49215686274509807,3.9198214475502184,0.8881322957198443
Njie,A,Torino,1,2.2020618556701033,0.18529411764705883,0.49215686274509807,3.9198214475502184,0.8881322957198443
Gabrielloni,A,Como,1,2.2020618556701033,0.18529411764705883,0.49215686274509807,3.9198214475502184,0.8881322957198443
Turati,P,Sassuolo,13,17.266666666666666,0.13999999999999999,0.30333333333333334,3.8554843304843307,0.8813229571984436
Fabbian,C,Bologna,17,23.885167464114833,0.15180722891566265,0.3163855421686747,3.814366456273221,0.8793774319066148
Man,C,Parma,19,26.273684210526316,0.15180722891566265,0.30855421686746987,3.7971461517051255,0.877431906614786
Ondrejka,C,Parma,23,31.050717703349285,0.15180722891566265,0.29530120481927713,3.7781495287474516,0.8754863813229572
Leris,C,Pisa,3,4.777033492822967,0.15180722891566265,0.4037349397590362,3.7705803438565964,0.8715953307392996
Engelhardt,C,Como,3,4.777033492822967,0.15180722891566265,0.4037349397590362,3.7705803438565964,0.8715953307392996
Estevez,C,Parma,3,4.777033492822967,0.15180722891566265,0.4037349397590362,3.7705803438565964,0.8715953307392996
Gatti,D,Juventus,13,18.8,0.15806451612903225,0.33440860215053764,3.7298717948717943,0.867704280155642
Zalewski,C,Inter,10,14.331100478468901,0.15180722891566265,0.35734939759036144,3.657516265653259,0.8647859922178989
Keita M.,C,Parma,10,14.331100478468901,0.15180722891566265,0.35734939759036144,3.657516265653259,0.8647859922178989
Ilic,C,Torino,12,16.719617224880384,0.15180722891566265,0.3404819277108434,3.649249788237449,0.8608949416342413
Gilmour,C,Napoli,12,16.719617224880384,0.15180722891566265,0.3404819277108434,3.649249788237449,0.8608949416342413
